Aggregates,Year,"Population, total",Population growth (annual %),GDP (current US$),"Government expenditure on education, total (% of government expenditure)","Employment to population ratio, 15+, total (%) ","Employment to population ratio, 15+, female (%)","Employment to population ratio, 15+, male (%)","Vulnerable employment, total (% of total employment)"
North America,1990,277373464,1.174097295,6.55867E+12,13.19062042,..,..,..,..
North America,1991,281077441,1.335375398,6.77009E+12,14.26379967,60.61780227,52.83181296,68.88888254,5.730790933
North America,1992,284943859,1.375570372,7.11439E+12,13.11614037,60.32237998,52.85250308,68.24940456,5.607184982
North America,1993,288662674,1.305104456,7.43755E+12,14.62347984,60.51745039,53.12742743,68.35062525,5.71971532
North America,1994,292185983,1.220562725,7.86724E+12,12.93443012,61.31106146,54.18119966,68.85808681,5.68526238
North America,1995,295640057,1.182149111,8.24581E+12,12.86363029,61.68062709,54.5828618,69.18374495,5.547927702
North America,1996,299064347,1.158263205,8.70436E+12,..,61.90447335,54.93442139,69.26321459,5.570975038
North America,1997,302623445,1.190077666,9.23547E+12,..,62.48896608,55.65482253,69.69565179,5.568514274
North America,1998,306070116,1.138930594,9.69995E+12,12.63957977,62.76485677,55.964736,69.92648601,5.418240187
North America,1999,309502571,1.121460352,1.03129E+13,12.74188042,63.03370841,56.35089191,70.06200721,5.248912181
North America,2000,312909974,1.100928819,1.09992E+13,12.98260021,63.23433619,56.48714001,70.32050131,5.139779181
North America,2001,316052361,1.004246352,1.13246E+13,12.21224022,62.5648168,56.08516692,69.36304176,5.060048163
North America,2002,319048184,0.947888189,1.16937E+13,12.14789963,61.79560278,55.53106111,68.36160229,5.019986821
North America,2003,321815286,0.867299091,1.23562E+13,..,61.4426124,55.48740458,67.67806968,5.180267498
North America,2004,324809693,0.930473825,1.32484E+13,..,61.50802533,55.36457978,67.93441893,5.187712178
North America,2005,327824506,0.928178273,1.42172E+13,12.17807007,61.79006721,55.58787041,68.27050457,5.145671397
North America,2006,331015609,0.973418076,1.5141E+13,..,62.18069765,55.96741211,68.66887189,5.092876941
North America,2007,334185120,0.95751104,1.59498E+13,12.32855988,62.11394311,56.07027892,68.42202372,5.055715321
North America,2008,337406357,0.963907968,1.63298E+13,12.00996017,61.40092668,55.72868328,67.31728475,4.970594084
North America,2009,340466060,0.906830276,1.58593E+13,12.48363972,58.67089959,54.01448416,63.52450067,5.110686519
North America,2010,343397156,0.860906958,1.66729E+13,12.33596039,57.93420524,53.25310687,62.81149451,5.091192982
North America,2011,345987373,0.75429192,1.73994E+13,12.21914005,57.86655007,52.90283679,63.03285067,4.967117077
North America,2012,348656682,0.771504745,1.80887E+13,..,58.07231903,52.87366684,63.47731459,4.952206039
North America,2013,351207902,0.731728411,1.86963E+13,..,58.12044904,52.92683645,63.51679899,4.88105261
North America,2014,353888902,0.763365512,1.93628E+13,..,58.46029883,53.20284361,63.91739931,4.791610434
North America,2015,356507139,0.739847163,1.97692E+13,13.54563999,58.75721783,53.38516694,64.32942018,4.7889033
North America,2016,359245796,0.768191349,2.023E+13,13.15421009,59.0832687,53.69391261,64.66959395,4.767539412
North America,2017,361731237,0.691849711,2.1136E+13,13.8646698,59.4827093,54.19073966,64.96443919,4.701696829
North America,2018,363967201,0.618128536,2.22597E+13,13.14618015,59.76411661,54.48054321,65.23497288,4.726416937
North America,2019,365995094,0.557163666,2.3122E+13,..,60.14180432,54.93929231,65.52815129,4.647951572
North America,2020,369602177,0.985555014,2.2546E+13,..,56.18913074,51.10128668,61.45538236,..
North America,2021,370203720,0.162754182,2.49939E+13,..,57.72203775,52.75207972,62.86637996,..
European Union,1990,420477999,0.335230266,6.49847E+12,..,..,..,..,..
European Union,1991,421730520,0.29788027,6.73602E+12,..,52.06740868,41.28933983,63.71145542,15.01737705
European Union,1992,422963890,0.292454528,7.40629E+12,..,51.38316099,40.91804767,62.68444015,15.41021653
European Union,1993,424341124,0.325615031,6.76111E+12,10.42578983,50.13299015,40.10981701,60.95270804,15.5038541
European Union,1994,425399126,0.24932818,7.16187E+12,..,49.51469579,39.81405297,59.9826641,15.44953386
European Union,1995,426203356,0.189053045,8.29603E+12,10.65826035,49.46383724,39.86846469,59.81494009,15.45028583
European Union,1996,426896861,0.162716926,8.43152E+12,10.79634953,49.29514067,39.89412994,59.43270159,15.23318673
European Union,1997,427538048,0.150197169,7.73376E+12,..,49.42447995,40.18140207,59.38844229,15.31742536
European Union,1998,428109867,0.133746927,7.96979E+12,10.74722958,49.81702793,40.65801069,59.68698537,15.02120762
European Union,1999,428815486,0.164821943,7.92575E+12,11.32598019,50.13102077,41.28900891,59.65476046,14.75716096
European Union,2000,429328622,0.119663589,7.2761E+12,11.08148956,50.3613134,41.6855469,59.70121684,14.51060085
European Union,2001,429895628,0.132068064,7.39382E+12,11.4880147,50.57500521,42.12185989,59.66794812,14.38870611
European Union,2002,430881947,0.229432201,8.08384E+12,11.23149967,50.30394095,42.12573706,59.09315188,13.75698066
European Union,2003,432415932,0.356010506,9.93188E+12,11.64056969,50.35624772,42.46511447,58.82938469,13.65044768
European Union,2004,434040244,0.375636483,1.1419E+13,11.44142008,50.21558694,42.54164223,58.44853637,13.29740834
European Union,2005,435581949,0.35519863,1.19108E+13,12.07252026,50.68500918,43.04363935,58.87816475,13.17319403
European Union,2006,436998045,0.325104381,1.27139E+13,12.1436801,51.4253562,43.88310062,59.50975055,12.84661787
European Union,2007,438468397,0.336466494,1.47288E+13,11.5558548,52.24610489,44.76843303,60.25912338,12.57523084
European Union,2008,439876674,0.321180958,1.62976E+13,11.61622047,52.60741755,45.31195531,60.42488673,12.20537127
European Union,2009,440917801,0.236686113,1.47638E+13,11.25362015,51.50118565,44.87375255,58.60203905,12.25399554
European Union,2010,441532415,0.139394236,1.45576E+13,11.04356956,51.09767833,44.6568342,57.99699973,12.48297275
European Union,2011,440746989,-0.177886373,1.57595E+13,10.9884901,51.05473532,44.75768434,57.79962149,12.34182603
European Union,2012,441395937,0.147238215,1.46362E+13,11.11421537,50.73641217,44.69495608,57.20584337,12.35243385
European Union,2013,442469469,0.243212932,1.52997E+13,11.43980026,50.41623261,44.56888176,56.67557809,12.19014301
European Union,2014,443576675,0.25023331,1.56521E+13,11.57505989,50.69868828,44.89425373,56.90889943,12.08497452
European Union,2015,444543761,0.21802003,1.35519E+13,11.54141045,51.10878774,45.30838465,57.31092747,11.76977674
European Union,2016,445487730,0.212345574,1.38932E+13,12.02523994,51.78199492,45.95581238,58.00641348,11.44445019
European Union,2017,446186344,0.156820032,1.47663E+13,11.04498959,52.52160296,46.64727674,58.79136103,11.18160621
European Union,2018,446915113,0.163332879,1.59787E+13,11.11289978,53.07977365,47.17689929,59.373272,10.98089344
European Union,2019,447197811,0.063255413,1.56919E+13,..,53.53943211,47.64666786,59.81589613,10.85382305
European Union,2020,447479493,0.062988233,1.53001E+13,..,52.74028049,47.00004864,58.84856723,..
European Union,2021,446946712,-0.119062663,1.70886E+13,..,53.05233592,47.49226143,58.96308655,..
